"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","genome_size_estimation_rank","genome_size_estimation_distance","LCA","genus","family","order","class","phylum","clade","superkingdom","no rank","model_used","species","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_41"," 50","16S_1","Sideroxydans"," 314343",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"314343","314343","90627","32003","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"query_42"," 44","16S_1","Rhodopila globiformis","   1071",6791598.6501548,6343582.59467012,7239614.70563948,"OK","genus",2,"1071","1070","433","204441","28211","1224",NA,"2","1","weighted_mean","1071",NA,NA,NA,NA,NA,NA,NA
"query_43"," 43","16S_1","Telmatobacter bradus"," 474953",5487934.67791856,5422129.23331193,5553740.1225252,"OK","family",3,"474953","1078829","204434","204433","204432","57723",NA,"2","1","weighted_mean","474953",NA,NA,NA,NA,NA,NA,NA
"query_44"," 36","16S_1","Acidobacteriaceae"," 204434",4821360.91514331,4689750.02593004,4952971.80435658,"OK","family",1,"204434",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_45"," 30","16S_1","bacterium Ellin5058"," 234245",4424371.30255006,4108520.60355715,4740222.00154298,"OK","no rank",2,"234245",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","234245",NA,NA,NA,NA,NA,NA,NA
"query_46"," 28","16S_1","Acidisphaera","  50714",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"50714","50714","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"query_47"," 28","16S_1","Terracidiphilus gabretensis","1577687",5119104.39069767,4749132.16217054,5489076.61922481,"OK","genus",2,"1577687","1768185","204434","204433","204432","57723",NA,"2","1","weighted_mean","1577687",NA,NA,NA,NA,NA,NA,NA
"query_48"," 27","16S_1","Thermomonosporaceae bacterium YE4-D4-16-CH2"," 795107",8726051.53961353,8660351.01608,8791752.06314705,"OK","family",3,"795107",NA,"2012","85012","1760","201174","1783272","2","1","weighted_mean","795107",NA,NA,NA,NA,NA,NA,NA
"query_49"," 26","16S_1","bacterium Ellin335"," 204678",3280323.39078341,2989103.64919205,3571543.13237477,"OK","family",3,"204678",NA,"1921568","1921567","28211","1224",NA,"2","1","weighted_mean","204678",NA,NA,NA,NA,NA,NA,NA
"query_50"," 25","16S_1","Rhizomicrobium sp. URHD0049","1703066",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,"1703066",NA,NA,NA,NA,NA,NA,NA
"query_51"," 18","16S_1","Blastochloris","  59282",3399248.0625,3088958.01319737,3709538.11180263,"OK","genus",1,"59282","59282","2831090","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_52"," 17","16S_1","Steroidobacter sp.","1978227",4827295.14285714,4269336.90425151,5385253.38146278,"OK","species",1,"1978227","469322","2689614","3060226","1236","1224",NA,"2","1","weighted_mean","1978227",NA,NA,NA,NA,NA,NA,NA
"query_53"," 16","16S_1","unclassified Bradyrhizobium","2631580",8053629.35777307,8012992.67383749,8094266.04170864,"OK","no rank",1,"2631580","374","41294","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_54"," 14","16S_1","Aciditerrimonas sp.","1872117",1990579.21345029,1904824.74616325,2076333.68073732,"OK","family",4,"1872117","1042325","84994","84993","84992","201174","1783272","2","1","weighted_mean","1872117",NA,NA,NA,NA,NA,NA,NA
"query_55"," 13","16S_1","Flavitalea sp.","1909289",3975566.5,3651872.98689672,4299260.01310328,"OK","species",1,"1909289","1210116","563835","1853229","1853228","976","1783270","2","1","weighted_mean","1909289",NA,NA,NA,NA,NA,NA,NA
"query_56"," 13","16S_1","Spirochaeta sp.","  28185",2788768.16666667,2507327.64145936,3070208.69187397,"OK","species",1,"28185","146","137","136","203692","203691",NA,"2","1","weighted_mean","28185",NA,NA,NA,NA,NA,NA,NA
"query_57"," 12","16S_1","unclassified Telmatobacter","2634852",5718671.74964846,5652866.30504182,5784477.19425509,"OK","family",3,"2634852","1078829","204434","204433","204432","57723",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_58"," 12","16S_1","Acidobacteriaceae bacterium LWQ3","1387378",4424371.30255006,4108520.60355715,4740222.00154298,"OK","no rank",2,"1387378",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","1387378",NA,NA,NA,NA,NA,NA,NA
"query_59","  9","16S_1","Rhodoplanes","  29407",5823781.10555556,5040305.06123946,6607257.14987165,"OK","genus",1,"29407","29407","45401","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_60","  9","16S_1","Solimicrobium silvestre","2099400",4769091.6,3994621.44666667,5543561.75333333,"OK","genus",2,"2099400","2249306","75682","80840","28216","1224",NA,"2","1","weighted_mean","2099400",NA,NA,NA,NA,NA,NA,NA
"query_61"," 76","ITS_3","Psathyrella marquana","2259056",54473931.5606061,50415991.5511101,58531871.570102,"OK","family",3,"2259056","71729","184208","5338","155619","5204","33154","2759","1","weighted_mean","2259056","452333","2982305","5302","451864","4751",NA,NA
"query_62"," 27","ITS_3","Saitozyma ninhbinhensis"," 388101",38658502.8508772,31619845.6816374,45697160.020117,"OK","genus",2,"388101","1890244","1890237","5234","155616","5204","33154","2759","1","weighted_mean","388101",NA,NA,"5302","451864","4751",NA,NA
"query_63"," 21","ITS_3","Mucor hiemalis","  64493",37174121.2156863,35485409.4126603,38862833.0187123,"OK","genus",2,"64493","4830","34489","4827","2212703","1913637","33154","2759","1","weighted_mean","64493",NA,"1344963","451507",NA,"4751",NA,NA
"query_64"," 19","ITS_3","Apiotrichum dulcitum","  82515",35080168.95,33432967.0395098,36727370.8604902,"OK","genus",2,"82515","105983","1759442","1851469","155616","5204","33154","2759","1","weighted_mean","82515",NA,NA,"5302","451864","4751",NA,NA
"query_65"," 18","ITS_3","Hebeloma crustuliniforme","  34454",43281763.3214286,39862626.1789851,46700900.463872,"OK","family",3,"34454","34453","80649","5338","155619","5204","33154","2759","1","weighted_mean","34454","452333","2982305","5302","451864","4751",NA,NA
"query_66"," 13","ITS_3","Didymellaceae"," 683158",36255371.5389652,35448691.8429927,37062051.2349377,"OK","family",1,"683158",NA,"683158","92860","147541","4890","33154","2759","1","weighted_mean",NA,"451868","715340","147538","451864","4751",NA,NA
"query_67"," 12","ITS_3","Cladosporium","   5498",32123172.1983333,31310245.8070717,32936098.589595,"OK","genus",1,"5498","5498","452563","2726946","147541","4890","33154","2759","1","weighted_mean",NA,"451867",NA,"147538","451864","4751",NA,NA
"query_68"," 11","ITS_3","Fusarium oxysporum","   5507",52804881.8126685,52638789.5154316,52970974.1099054,"OK","species",1,"5507","5506","110618","5125","147550","4890","33154","2759","1","weighted_mean","5507","222543",NA,"147538","451864","4751","171631",NA
"query_69"," 11","ITS_3","Ascobolus stercorarius"," 255055",59705045.2050337,58370411.7368856,61039678.6731819,"OK","order",4,"255055","5190","5189","5185","147549","4890","33154","2759","1","weighted_mean","255055",NA,NA,"147538","451864","4751",NA,NA
"query_70"," 10","ITS_3","Chaetomiaceae sp.","1756124",33404709.2,33032057.5763776,33777360.8236224,"OK","no rank",2,"1756124",NA,"35718","5139","147550","4890","33154","2759","1","weighted_mean","1756124","222544",NA,"147538","451864","4751",NA,NA
"query_71"," 10","ITS_3","Lectera colletotrichoides","1208925",38400891.7249003,37324260.1903232,39477523.2594773,"OK","family",3,"1208925","1208924","1033978","1028384","147550","4890","33154","2759","1","weighted_mean","1208925","222543",NA,"147538","451864","4751",NA,NA
"query_72","  9","ITS_3","Mucor sp.","1715236",31245123,29450770.44,33039475.56,"OK","no rank",2,"1715236","4830","34489","4827","2212703","1913637","33154","2759","1","weighted_mean","1715236",NA,"1344963","451507",NA,"4751",NA,NA
"query_73","  9","ITS_3","Fusarium tricinctum species complex"," 679429",43510566.1897436,42358646.8865552,44662485.492932,"OK","species group",1,"679429","5506","110618","5125","147550","4890","33154","2759","1","weighted_mean",NA,"222543",NA,"147538","451864","4751","679429",NA
"query_74","  9","ITS_3","Linnemannia elongata"," 310910",48100048,47319895.0906092,48880200.9093908,"OK","species",1,"310910","2779861","4854","214503","2212732","1913637","33154","2759","1","weighted_mean","310910",NA,NA,"1137986",NA,"4751",NA,NA
"query_75","  8","ITS_3","Trichoderma sp.","1715253",36860790.375,36075559.9630691,37646020.7869309,"OK","no rank",2,"1715253","5543","5129","5125","147550","4890","33154","2759","1","weighted_mean","1715253","222543",NA,"147538","451864","4751",NA,NA
"query_76","  8","ITS_3","Gaeumannomyces","  29849",46614815,40212871.9,53016758.1,"OK","genus",1,"29849","29849","81093","639021","147550","4890","33154","2759","1","weighted_mean",NA,"222544",NA,"147538","451864","4751",NA,NA
"query_77","  7","ITS_3","Mortierella sp.","1715235",43627566.4666667,42898804.5400867,44356328.3932466,"OK","no rank",2,"1715235","4855","4854","214503","2212732","1913637","33154","2759","1","weighted_mean","1715235",NA,NA,"1137986",NA,"4751",NA,NA
"query_78","  7","ITS_3","Entomortierella beljakovae"," 979673",37841323.3,37144313.6571297,38538332.9428703,"OK","genus",2,"979673","2779859","4854","214503","2212732","1913637","33154","2759","1","weighted_mean","979673",NA,NA,"1137986",NA,"4751",NA,NA
"query_79","  7","ITS_3","Hypomyces samuelsii"," 767784",41240809.5,39433896.9333333,43047722.0666667,"OK","genus",2,"767784","5130","5129","5125","147550","4890","33154","2759","1","weighted_mean","767784","222543",NA,"147538","451864","4751",NA,NA
"query_80","  6","ITS_3","Fusarium proliferatum"," 948311",45269225.7241379,44408166.2933784,46130285.1548975,"OK","species",1,"948311","5506","110618","5125","147550","4890","33154","2759","1","weighted_mean","948311","222543",NA,"147538","451864","4751","171627",NA
"query_81","  6","ITS_3","Allophylaria subliciformis","2478803",40275483.3618083,39913905.4776585,40637061.245958,"OK","order",4,"2478803","2478802","2488219","5178","147548","4890","33154","2759","1","weighted_mean","2478803",NA,NA,"147538","451864","4751",NA,NA
"query_82","  5","ITS_3","Alternaria sp.","1715220",35854779.2083333,34741008.6271375,36968549.7895292,"OK","no rank",2,"1715220","5598","28556","92860","147541","4890","33154","2759","1","weighted_mean","1715220","451868","715340","147538","451864","4751",NA,NA
"query_83","  5","ITS_3","Saccotheciaceae","1570301",31509495.7903381,29438113.1133277,33580878.4673485,"OK","family",1,"1570301",NA,"1570301","5014","147541","4890","33154","2759","1","weighted_mean",NA,"451867",NA,"147538","451864","4751",NA,NA
"query_84","  5","ITS_3","Neoascochyta exitialis"," 487631",31163882.088128,30760542.2401417,31567221.9361142,"OK","family",3,"487631","1770170","683158","92860","147541","4890","33154","2759","1","weighted_mean","487631","451868","715340","147538","451864","4751",NA,NA
"query_85","  4","ITS_3","Agaricaceae sp. 325","1198532",44934946.0925926,42820021.8732726,47049870.3119126,"OK","family",3,"1198532",NA,"5339","5338","155619","5204","33154","2759","1","weighted_mean","1198532","452333","2982305","5302","451864","4751",NA,NA
"query_86","  4","ITS_3","Volutella ciliata"," 145967",44922308.5078804,44693031.938696,45151585.0770648,"OK","family",3,"145967","145966","110618","5125","147550","4890","33154","2759","1","weighted_mean","145967","222543",NA,"147538","451864","4751",NA,NA
"query_87","  4","ITS_3","Fusarium","   5506",43135122.2387956,42754982.606056,43515261.8715353,"OK","genus",1,"5506","5506","110618","5125","147550","4890","33154","2759","1","weighted_mean",NA,"222543",NA,"147538","451864","4751",NA,NA
"query_88","  4","ITS_3","Phoma herbarum","  73001",37476523.04,36514248.0545977,38438798.0254023,"OK","genus",2,"73001","37463","683158","92860","147541","4890","33154","2759","1","weighted_mean","73001","451868","715340","147538","451864","4751",NA,NA
"query_89","  4","ITS_3","Fusarium tricinctum","  61284",42608373.8,42182813.8469552,43033933.7530448,"OK","species",1,"61284","5506","110618","5125","147550","4890","33154","2759","1","weighted_mean","61284","222543",NA,"147538","451864","4751","679429",NA
"query_90","  4","ITS_3","Ceratobasidium sp. FO 38200"," 386466",59951471.1666667,57607454.085735,62295488.2475984,"OK","no rank",2,"386466","5251","5250","36064","155619","5204","33154","2759","1","weighted_mean","386466",NA,NA,"5302","451864","4751",NA,NA
"query_91","112","ITS_2","Saitozyma ninhbinhensis"," 388101",38658502.8508772,31619845.6816374,45697160.020117,"OK","genus",2,"388101","1890244","1890237","5234","155616","5204","33154","2759","1","weighted_mean","388101",NA,NA,"5302","451864","4751",NA,NA
"query_92"," 81","ITS_2","Linnemannia elongata"," 310910",48100048,47319895.0906092,48880200.9093908,"OK","species",1,"310910","2779861","4854","214503","2212732","1913637","33154","2759","1","weighted_mean","310910",NA,NA,"1137986",NA,"4751",NA,NA
"query_93"," 68","ITS_2","Cladosporium","   5498",32123172.1983333,31310245.8070717,32936098.589595,"OK","genus",1,"5498","5498","452563","2726946","147541","4890","33154","2759","1","weighted_mean",NA,"451867",NA,"147538","451864","4751",NA,NA
"query_94"," 37","ITS_2","Fusarium oxysporum","   5507",52804881.8126685,52638789.5154316,52970974.1099054,"OK","species",1,"5507","5506","110618","5125","147550","4890","33154","2759","1","weighted_mean","5507","222543",NA,"147538","451864","4751","171631",NA
"query_95"," 31","ITS_2","Chaetomiaceae sp.","1756124",33404709.2,33032057.5763776,33777360.8236224,"OK","no rank",2,"1756124",NA,"35718","5139","147550","4890","33154","2759","1","weighted_mean","1756124","222544",NA,"147538","451864","4751",NA,NA
"query_96"," 29","ITS_2","Fonsecaea minima","1367421",34413768.8333333,34230826.5021168,34596711.1645499,"OK","genus",2,"1367421","40354","43219","34395","147545","4890","33154","2759","1","weighted_mean","1367421","451870",NA,"147538","451864","4751",NA,NA
"query_97"," 27","ITS_2","Nectria cinnabarina","  29855",54683633,49941445.6666667,59425820.3333333,"OK","genus",2,"29855","5133","110618","5125","147550","4890","33154","2759","1","weighted_mean","29855","222543",NA,"147538","451864","4751",NA,NA
"query_98"," 25","ITS_2","Didymella pinodella"," 749633",36115625.125,35601490.6115098,36629759.6384902,"OK","species",1,"749633","55170","683158","92860","147541","4890","33154","2759","1","weighted_mean","749633","451868","715340","147538","451864","4751",NA,NA
"query_99"," 23","ITS_2","Hebeloma crustuliniforme","  34454",43281763.3214286,39862626.1789851,46700900.463872,"OK","family",3,"34454","34453","80649","5338","155619","5204","33154","2759","1","weighted_mean","34454","452333","2982305","5302","451864","4751",NA,NA
"query_100"," 19","ITS_2","Fusarium tricinctum","  61284",42608373.8,42182813.8469552,43033933.7530448,"OK","species",1,"61284","5506","110618","5125","147550","4890","33154","2759","1","weighted_mean","61284","222543",NA,"147538","451864","4751","679429",NA
"query_101"," 19","ITS_2","Capnobotryella sp. MA 3619"," 447491",33308826.773866,32462566.1902816,34155087.3574505,"OK","family",4,"447491","62131","668547","2726947","147541","4890","33154","2759","1","weighted_mean","447491","451867",NA,"147538","451864","4751",NA,NA
"query_102"," 18","ITS_2","Shiraia bambusicola"," 224420",31110078.2,30719178.74,31500977.66,"OK","genus",2,"224420","224419","224418","92860","147541","4890","33154","2759","1","weighted_mean","224420","451868",NA,"147538","451864","4751",NA,NA
"query_103"," 18","ITS_2","Dinemasporium pseudostrigosum","1196448",48115355.5,39035640.065,57195070.935,"OK","family",3,"1196448","1196446","103886","261460","147550","4890","33154","2759","1","weighted_mean","1196448","222544",NA,"147538","451864","4751",NA,NA
"query_104"," 17","ITS_2","Podila","2779937",37998104.9714286,36636992.603265,39359217.3395921,"OK","genus",1,"2779937","2779937","4854","214503","2212732","1913637","33154","2759","1","weighted_mean",NA,NA,NA,"1137986",NA,"4751",NA,NA
"query_105"," 15","ITS_2","Solicoccozyma gelidoterrea","2877759",22395122.25,22090825.5533333,22699418.9466667,"OK","genus",2,"2877759","1851575","1851565","90886","155616","5204","33154","2759","1","weighted_mean","2877759",NA,NA,"5302","451864","4751",NA,NA
"query_106"," 14","ITS_2","Dinemasporium strigosum","1196449",48115355.5,39035640.065,57195070.935,"OK","family",3,"1196449","1196446","103886","261460","147550","4890","33154","2759","1","weighted_mean","1196449","222544",NA,"147538","451864","4751",NA,NA
"query_107"," 12","ITS_2","Coleophoma ericicola","1849048",42736542.3333333,41782651.0348323,43690433.6318344,"OK","genus",2,"1849048","453209","76657","5178","147548","4890","33154","2759","1","weighted_mean","1849048",NA,NA,"147538","451864","4751",NA,NA
"query_108"," 11","ITS_2","Umbelopsis sp. Mykopat 134","1187152",23050600,22524185.1797218,23577014.8202782,"OK","no rank",2,"1187152","64561","1403793","1913639","2212704","1913637","33154","2759","1","weighted_mean","1187152",NA,NA,"451507",NA,"4751",NA,NA
"query_109"," 11","ITS_2","Clonostachys"," 110564",56959735.2527473,56120736.945106,57798733.5603885,"OK","genus",1,"110564","110564","103887","5125","147550","4890","33154","2759","1","weighted_mean",NA,"222543",NA,"147538","451864","4751",NA,NA
"query_110","  9","ITS_2","Fontanospora fusiramosa"," 693254",42107543,41974534.95,42240551.05,"OK","family",3,"693254","693252","2794838","5178","147548","4890","33154","2759","1","weighted_mean","693254",NA,NA,"147538","451864","4751",NA,NA
"query_111","  8","ITS_2","Seltsamia ulmi","2053811",36003766.5,35451517.521734,36556015.478266,"OK","family",3,"2053811","2065321","221670","92860","147541","4890","33154","2759","1","weighted_mean","2053811","451868","715340","147538","451864","4751",NA,NA
"query_112","  8","ITS_2","Clonostachys rosea","  29856",57415981.7692308,56194351.2287079,58637612.3097536,"OK","species",1,"29856","110564","103887","5125","147550","4890","33154","2759","1","weighted_mean","29856","222543",NA,"147538","451864","4751",NA,NA
